,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_rbf,y_kpca_rbf,x_kpca_poly,y_kpca_poly,x_kpca_cos,y_kpca_cos,cluster_kpca_rbf
0,Retail,Other,12669,9656,7561,214,2674,1338,0.05287367851390618,-0.0957020283339392,0.07837370589555122,-0.17311460364284026,0.5047893015158403,0.009622306647377976,2
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.12964618401642972,-0.16045812129786965,0.18581254641290754,-0.3074147140645969,0.8899412223120102,-0.2628329463279434,2
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.21020537269667056,0.04844604646265663,0.3417015381326228,0.07504775170557597,0.4739940541267175,0.23568683324586615,2
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.2162432260582775,0.10516496683103878,-0.253303523658345,0.25035242631907617,-0.6186114271241644,0.3701305442802818,4
4,Retail,Other,22615,5410,7198,3915,1777,5185,-0.011687374284495495,0.265431626957565,0.13661671368898726,0.37527923546027614,0.06889953794312502,0.8618293827365121,4
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.036466297361146184,-0.13284548868140955,-0.08895330433843482,-0.21226471169213532,0.10295629527946552,-0.3304564801092655,1
6,Retail,Other,12126,3199,6975,480,3140,545,-0.0697155932203249,-0.11732621082881495,-0.14353041259380836,-0.16630589319905756,-0.09216796241777583,-0.28989192765361305,1
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.043759443842918584,-0.1466191388393938,0.040896985837843736,-0.2627155987279703,0.5540934639173403,-0.3475508620366147,2
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.09675019886902207,-0.20506029089817548,-0.22048402954290292,-0.3051577883697472,-0.15578901423447644,-0.6896927304727348,1
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.4936685721899785,-0.15555600801111769,0.7089688368462713,-0.2911925018216329,1.1648509491774444,0.023746724906468144,0
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.21067780901882685,-0.1696435955528311,0.3197406409241956,-0.30652457804762456,0.8649020932926702,-0.19286306252342555,2
11,Retail,Other,13146,1124,4523,1420,549,497,-0.22150693569650964,-0.043019810961086334,-0.3554518255692504,0.013874803248531941,-0.6524416952788551,-0.10638673171860998,1
12,Retail,Other,31714,12319,11757,287,3881,2931,0.2047987318660783,0.29304673062421405,0.3854465445073941,0.33572883668073555,0.5189256754099233,0.8891844129165529,3
13,Retail,Other,21217,6208,14982,3095,6707,602,0.22492371282292745,0.08412699715331362,0.3895006007283214,0.059373813275348415,0.7459587900333248,0.6652437528164216,2
14,Retail,Other,24653,9465,12091,294,5058,2168,0.19615395161835333,0.13023054987066887,0.3555111665729343,0.1442177849516529,0.6716997036238872,0.7605400813714231,2
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.2060461349804703,-0.11610486588018888,-0.35435520006086124,-0.11021859390248882,-0.5245171920456185,-0.3477885584442489,1
16,Retail,Other,1020,8816,12121,134,4508,1080,0.22748280410347524,-0.2846927365653199,0.32263564498743075,-0.4722189977111656,0.8519358136546645,-0.5460352667323773,2
17,HoReCa,Other,5876,6157,2933,839,370,4478,-0.07176423537634714,-0.08755038735669993,-0.07000249896230815,-0.09035047264311934,-0.0332202932966469,-0.11493113644620083,1
18,Retail,Other,18601,6327,10099,2205,2767,3181,0.039925904486972835,0.08402689619844303,0.11654191916216353,0.11785312476009355,0.3876603752214002,0.8429922154646661,4
19,HoReCa,Other,7780,2495,9464,669,2518,501,-0.04484567184704745,-0.18519562960453692,-0.12022755406904648,-0.2835482007710932,0.04476543644367455,-0.5527699503922409,1
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.11095404619357713,0.03344697483640405,-0.14690021076745413,0.09957113896938707,-0.30752089028589946,0.44318830528889214,4
21,HoReCa,Other,5567,871,2010,3383,375,569,-0.2435317728056085,-0.11311006709485745,-0.3995107138663484,-0.09264082017742066,-0.6188073618880082,-0.38761277604787386,1
22,HoReCa,Other,31276,1917,4469,9408,2381,4334,-0.06805144353149091,0.5381913850229698,0.20435998773200198,0.6356359259636717,-0.1560043348914223,1.0050370853124675,3
23,Retail,Other,26373,36423,22019,5154,4337,16523,0.4514279462992255,0.4340437448097874,0.39026615726915015,0.2569496025734214,0.7065213342862832,0.6250312465235665,3
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.2635648263851923,0.22849832866870226,0.4278165407333474,0.22478368660722706,0.6516647402081203,0.8093177360160559,3
25,Retail,Other,16165,4230,7595,201,4003,57,-0.023400880290824717,-0.0594955306577029,-0.031635128734054385,-0.07255095160998637,0.11452974129428214,0.06812692646640442,1
26,HoReCa,Other,9898,961,2861,3151,242,833,-0.2497047669045731,-0.048685616761006016,-0.4001406036273937,0.00853541469734872,-0.7423357127810756,-0.1765751160825628,1
27,HoReCa,Other,14276,803,3045,485,100,518,-0.2491491000458864,-0.02751349902059024,-0.3700525126455123,0.053917919214034764,-0.6391505057184971,-0.07438347274703133,1
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.7542725293909501,0.04020315600901908,0.7016207368605806,0.07310145750803983,1.124945328050573,0.2130374858337629,0
29,HoReCa,Other,43088,2100,2609,1200,1107,823,-0.12638479479376782,0.5346064697582528,0.1826835473898085,0.6814840445911229,-0.2764926102240201,0.8502143237539174,3
